,lon,lat,,1
488,22.937506,-30.559482,,584
490,-19.020835,64.963051,,586
491,-117.1610838,32.715738,,590
492,28.0473051,-26.2041028,,591
494,-86.158068,39.768403,,595
495,-0.1277583,51.5073509,,597
496,-0.9892703,49.3971886,,600
497,-102.4107493,34.2331373,,601
501,-100.4885515,49.3849271,,605
502,-95.3698028,29.7604267,,608
504,-75.0393438,39.4020596,,611
506,-82.9000751,32.1656221,,612
508,36.8219462,-1.2920659,,621
509,-79.6903316,44.3893556,,622
512,-3.7837117,52.1306607,,625
513,-89.9134594,35.1170052,,626
514,-111.8314724,33.4151843,,628
516,117.1436154,-0.4948232,,637
517,-1.61778,54.978252,,639
519,27.8540323,-26.2485377,,644
521,-3.435973,55.378051,,645
522,91.8932535,25.5787726,,647
524,28.0473051,-26.2041028,,649
528,-0.1277583,51.5073509,,652
532,4.7005176,50.8798438,,659
533,28.0473051,-26.2041028,,660
536,23.7275388,37.9838096,,673
538,-1.1743197,52.3555177,,675
541,0.4662071,50.8499062,,678
544,-119.4179324,36.778261,,681
550,-81.5582714,28.3575294,,684
553,0.4690888,51.7343313,,685
555,-12.4041666,-60.2483333,,690
557,-0.1277583,51.5073509,,691
558,-77.4360481,37.5407246,,694
559,17.7948189,50.6411215,,697
560,-0.3982145,53.0452281,,698
563,-0.7594171,52.0406224,,699
566,1.169456,51.081397,,700
567,31.0218404,-29.8586804,,703
569,-102.552784,23.634501,,705
570,17.6389267,59.8585638,,710
571,-90.2915132,43.2233214,,714
574,55.2707828,25.2048493,,717
576,18.0685808,59.3293235,,718
578,-77.0368707,38.9071923,,721
579,-1.4418634,54.9636693,,723
581,78.96288,20.593684,,724
582,-118.1445155,34.1477849,,725
584,18.4947987,-33.8275375,,726
587,-1.1743197,52.3555177,,732
589,-2.9915726,53.4083714,,734
592,115.2126293,-8.6704582,,735
602,-0.1277583,51.5073509,,737
603,-0.1277583,51.5073509,,739
604,-2.7044052,53.7632254,,740
605,-3.1647333,54.8313317,,742
606,6.1431577,46.2043907,,744
607,-96.7969879,32.7766642,,745
608,-1.1743197,52.3555177,,746
611,5.1214201,52.0907374,,751
612,-0.1277583,51.5073509,,752
614,-115.1398296,36.1699412,,753
618,-5.0527125,50.2660471,,758
620,-3.7037902,40.4167754,,765
621,-74.0738518,40.7805484,,772
623,-76.8449341,39.1674643,,773
624,-82.3248262,29.6516344,,776
634,-3.74922,40.463667,,777
640,-83.555212,41.6639383,,782
645,-1.1581086,52.9547832,,783
650,-77.0368707,38.9071923,,785
651,-3.435973,55.378051,,789
652,114.109497,22.396428,,791
655,-3.7837117,52.1306607,,796
657,-0.1277583,51.5073509,,797
658,-105.5108312,39.9613759,,799
661,78.96288,20.593684,,800
662,-73.134961,40.789142,,802
663,7.2900686,46.2379665,,810
664,22.937506,-30.559482,,817
666,-7.6920536,53.1423672,,824
667,-79.5394625,43.8430176,,831
669,-94.1049895,36.3704099,,832
672,-75.977985,36.8529263,,834
675,4.469936,50.503887,,835
677,-1.1743197,52.3555177,,845
679,-3.999461,50.7772135,,848
683,-77.1945247,41.2033216,,849
685,25.9231471,-24.6282079,,862
686,-3.435973,55.378051,,864
689,-95.712891,37.09024,,866
691,3.7174243,51.0543422,,868
692,-2.337761,52.1035321,,881
696,-74.0059728,40.7127753,,885
701,10.451526,51.165691,,887
703,-2.7877294,54.0103942,,892
706,-0.1746853,51.4941501,,893
714,0.506721,51.388,,902
715,120.9842195,14.5995124,,908
717,-106.346771,56.130366,,911
720,-1.691032,52.633584,,912
729,-83.3393462,37.3112042,,913
730,-1.1581086,52.9547832,,926
731,-2.7417849,52.7063657,,928
733,-81.7245739,41.3136644,,931
734,22.937506,-30.559482,,933
737,28.0473051,-26.2041028,,935
738,-95.712891,37.09024,,939
739,-70.6672621,41.9584457,,944
746,-91.8318334,35.20105,,946
749,74.3587473,31.5203696,,953
752,103.819836,1.352083,,955
755,-111.9260519,33.4941704,,956
763,-4.1199696,57.0650269,,957
765,121.0244452,14.554729,,958
767,-0.1277583,51.5073509,,959
772,-95.712891,37.09024,,963
773,0.8864021,52.6139686,,966
775,-74.0059728,40.7127753,,968
779,-2.441181,50.7111639,,973
781,-0.1277583,51.5073509,,974
782,-96.3049975,39.2019412,,975
784,-73.8912481,41.2084278,,976
787,-81.5157535,27.6648274,,980
788,-95.971261,36.153315,,982
792,-1.1743197,52.3555177,,990
794,-110.1624948,38.9955054,,991
796,-79.0192997,35.7595731,,992
799,-95.712891,37.09024,,998
802,-79.9667766,40.4259915,,1000
804,-80.8431267,35.2270869,,1001
805,-3.17909,51.481581,,1007
807,-80.9787205,33.9456541,,1008
811,-118.1853486,33.9605701,,1009
813,145.7080742,-37.1943946,,1012
814,153.121389,-27.544722,,1013
815,2.213749,46.227638,,1015
820,-0.1277583,51.5073509,,1016
822,139.6917064,35.6894875,,1023
823,174.885971,-40.900557,,1026
828,147.1506542,-9.4780123,,1027
836,-97.1416798,32.8388091,,1029
837,-95.712891,37.09024,,1030
840,0.121817,52.205337,,1031
841,-0.399752,54.283113,,1033
842,-83.9811014,34.1140497,,1034
852,-124.8457334,64.8255441,,1037
860,110.3785438,1.6076812,,1041
861,-104.8213634,38.8338816,,1043
862,-71.031271,42.397944,,1045
863,-77.0483959,38.9028939,,1048
864,-76.67655,39.455552,,1055
865,149.189913,-35.3080906,,1056
866,4.3517211,50.8503463,,1057
872,-1.1743197,52.3555177,,1059
874,-1.61778,54.978252,,1061
880,144.9630576,-37.8136276,,1062
882,-83.040888,39.9917495,,1065
883,-76.6239423,39.2635174,,1066
884,-85.546528,39.812148,,1071
887,174.7633315,-36.8484597,,1073
889,1.0778445,49.4452403,,1074
890,-85.6023643,44.3148443,,1075
891,-72.7130983,41.7398102,,1076
894,25.9231471,-24.6282079,,1077
895,-95.712891,37.09024,,1079
899,-122.4194155,37.7749295,,1080
901,-75.2853789,40.006462,,1081
902,-95.712891,37.09024,,1082
905,-85.759963,38.2967362,,1083
906,-121.8863286,37.3382082,,1085
912,-82.907123,40.4172871,,1086
918,-86.5804473,35.5174913,,1088
919,-111.0937311,39.3209801,,1089
928,-122.3320708,47.6062095,,1091
931,-0.1277583,51.5073509,,1096
934,-90.1994042,38.6270025,,1098
937,5.291266,52.132633,,1100
938,48.0047439,29.373051,,1103
939,-121.2890062,44.0706845,,1107
942,-3.435973,55.378051,,1109
943,-104.990251,39.7392358,,1111
944,-3.7037902,40.4167754,,1112
946,8.227512,46.818188,,1119
948,-72.5795115,42.4663727,,1124
949,-66.590149,18.220833,,1126
950,-122.4194155,37.7749295,,1128
951,35.243322,38.963745,,1130
955,55.975413,21.4735329,,1139
961,-112.0740373,33.4483771,,1140
962,67.2847875,25.0700428,,1142
964,139.6917064,35.6894875,,1145
965,-2.1632062,54.1962686,,1147
966,-77.0441143,35.108493,,1148
967,-71.3824374,42.4072107,,1153
968,67.2847875,25.0700428,,1160
969,36.8219462,-1.2920659,,1161
970,-3.435973,55.378051,,1165
975,144.98815,-37.8019,,1169
982,-122.5170056,37.9337134,,1173
983,-2.8007399,54.046575,,1174
984,-1.1743197,52.3555177,,1177
985,-96.7969879,32.7766642,,1181
992,-118.2436849,34.0522342,,1187
994,22.937506,-30.559482,,1188
997,123.363905,41.7860178,,1190
1002,-81.5102655,41.4323067,,1194
1003,-110.9080999,27.9057133,,1196
1004,36.8219462,-1.2920659,,1199
1006,-0.39032,51.656489,,1207
1008,-1.0923964,51.26654,,1208
1012,-90.9123277,33.9773305,,1218
1014,19.5033041,47.162494,,1219
1020,75.6737869,32.2732994,,1220
1021,-80.8431267,35.2270869,,1222
1022,144.9630576,-37.8136276,,1227
1027,-118.2436849,34.0522342,,1229
1028,-82.4571776,27.950575,,1230
1030,-118.255075,34.1425078,,1231
1034,-118.4911912,34.0194543,,1233
1035,-111.8910474,40.7607793,,1235
1037,-106.346771,56.130366,,1236
1039,-90.0489801,35.1495343,,1237
1042,-123.1059282,44.6365107,,1238
1043,-121.8863286,37.3382082,,1244
1044,-0.1628985,51.2532945,,1246
1047,-95.712891,37.09024,,1249
1054,22.937506,-30.559482,,1250
1059,-120.5478474,46.9965144,,1255
1061,-79.0192997,35.7595731,,1257
1063,-121.2907796,37.9577016,,1258
1064,18.4240553,-33.9248685,,1263
1066,4.3517211,50.8503463,,1266
1068,-1.1743197,52.3555177,,1278
1070,151.2092955,-33.8688197,,1284
1071,-77.0287949,38.8983313,,1287
1074,10.451526,51.165691,,1289
1075,-0.9936306,53.100319,,1290
1077,8.6602704,49.544964,,1291
1078,-118.2436849,34.0522342,,1293
1080,108.277199,14.058324,,1295
1081,-118.2436849,34.0522342,,1296
1084,-121.495139,38.579306,,1301
1087,-117.1610838,32.715738,,1308
1088,-122.6764815,45.5230622,,1316
1090,0.121817,52.205337,,1317
1096,-115.1728484,36.1147065,,1318
1099,28.2292712,-25.7478676,,1326
1101,28.2292712,-25.7478676,,1327
1103,-121.302728,38.5890723,,1328
1104,22.937506,-30.559482,,1331
1106,-79.3831843,43.653226,,1334
1107,-2.320096,51.230751,,1336
1113,-89.6501481,39.7817213,,1337
1114,103.9473728,1.3720937,,1339
1116,1.297355,52.6308859,,1340
1124,24.822557,59.4357313,,1349
1125,-95.712891,37.09024,,1351
1127,-117.84113,33.7462229,,1352
1129,-91.8318334,35.20105,,1359
1130,-73.567256,45.5016889,,1368
1136,-119.4179324,36.778261,,1371
1139,-71.3824374,42.4072107,,1372
1146,-122.6764815,45.5230622,,1378
1154,67.0365922,24.8331325,,1379
1155,174.7633315,-36.8484597,,1381
1156,-89.3985283,40.6331249,,1384
1158,-98.454075,30.8468694,,1385
1159,25.5207358,-33.7139247,,1386
1162,13.404954,52.5200066,,1387
1163,-73.7751326,41.0748188,,1389
1169,-3.999461,50.7772135,,1391
1170,-115.1398296,36.1699412,,1392
1171,-118.3419488,34.1017048,,1400
1172,4.8951679,52.3702157,,1406
1173,27.8076959,-26.7034204,,1407
1177,-97.5164276,35.4675602,,1409
1181,-86.902298,32.3182314,,1416
1188,-76.6121893,39.2903848,,1419
1189,-82.3237042,34.7655131,,1425
1190,-2.7967214,56.3397753,,1427
1192,-88.9946702,40.5122833,,1432
1194,26.6317514,-26.8598225,,1434
1195,13.404954,52.5200066,,1436
1196,28.1953061,-25.8837984,,1438
1197,-122.4194155,37.7749295,,1439
1199,-70.620363,42.6556505,,1441
1202,-122.2712357,37.8022657,,1447
1207,-118.3812562,34.187044,,1448
1220,-3.999461,50.7772135,,1449
1222,-117.918296,33.813446,,1461
1223,-122.2913078,37.8271784,,1462
1224,-95.3698028,29.7604267,,1463
1225,4.469936,50.503887,,1469
1226,-1.2577263,51.7520209,,1471
1227,-91.8318334,35.20105,,1472
1229,-105.0158511,39.8596261,,1476
1231,19.145136,51.919438,,1477
1232,69.345116,30.375321,,1479
1235,139.6917064,35.6894875,,1482
1236,-95.8617421,36.1063608,,1487
1237,-72.6612317,44.1390054,,1490
1242,18.5599233,-33.8587307,,1493
1245,-71.3824374,42.4072107,,1496
1252,-120.6596156,35.2827524,,1500
1255,-122.2913078,37.8271784,,1501
1257,-86.5804473,35.5174913,,1511
1264,-81.5157535,27.6648274,,1514
1268,-81.5157535,27.6648274,,1515
1270,-99.9018131,31.9685988,,1517
1286,-93.2922989,37.2089572,,1518
1287,-90.0489801,35.1495343,,1520
1289,-76.4859544,44.2311717,,1523
1295,-80.085059,42.1292241,,1526
1309,-118.542586,34.3916641,,1529
1316,-78.8783689,42.8864468,,1530
1323,-74.0059728,40.7127753,,1531
1326,121.774017,12.879721,,1532
1327,170.1547567,-45.4790671,,1534
1328,-82.1012554,39.3292396,,1535
1329,19.040235,47.497912,,1537
1332,-95.712891,37.09024,,1539
1335,-76.6412712,39.0457549,,1543
1338,77.2090212,28.6139391,,1544
1342,21.252529,48.3562385,,1547
1348,-93.2009998,44.9374831,,1549
1351,-84.2963123,33.7748275,,1551
1359,100.5017651,13.7563309,,1553
1369,-98.2300124,26.2034071,,1554
1370,-118.4003563,34.0736204,,1562
1374,-3.17909,51.481581,,1563
1381,-99.9018131,31.9685988,,1569
1382,-117.1610838,32.715738,,1570
1388,-81.5157535,27.6648274,,1571
1396,-73.8013984,41.0878927,,1574
1400,-119.4179324,36.778261,,1578
1403,25.5207358,-33.7139247,,1580
1407,-95.4203809,29.8034146,,1584
1409,-98.4842465,39.011902,,1594
1411,69.345116,30.375321,,1596
1412,22.937506,-30.559482,,1597
1414,-104.990251,39.7392358,,1599
1415,-79.9958864,40.4406248,,1601
1416,-81.4498717,37.2232316,,1604
1427,110.3592127,1.5532783,,1607
1428,-119.4179324,36.778261,,1611
1429,135.7680294,35.0116363,,1613
1430,28.0473051,-26.2041028,,1614
1437,-73.9475088,40.7758656,,1615
1442,-94.6119004,38.8550077,,1619
1446,-118.2436849,34.0522342,,1625
1453,-117.5847273,33.8838185,,1628
1455,-74.0059728,40.7127753,,1629
1456,106.8650395,-6.17511,,1633
1457,-73.9441579,40.6781784,,1634
1463,36.8219462,-1.2920659,,1635
1470,-116.5765035,53.9332706,,1636
1477,-123.3283925,42.4390069,,1640
1478,101.975766,4.210484,,1641
1481,-96.7298519,32.9483335,,1642
1483,-115.1398296,36.1699412,,1643
1485,-87.6297982,41.8781136,,1646
1486,14.7327365,63.0956747,,1647
1488,-86.1349019,40.2671941,,1649
1491,-117.7499909,34.055103,,1651
1492,-117.935274,34.033879,,1652
1500,103.940395,1.3540801,,1654
1502,6.0608726,51.4427238,,1655
1504,-79.3975605,43.6486172,,1660
1505,-75.2176046,40.011293,,1664
1506,-69.994187,43.7404148,,1667
1508,25.5207358,-33.7139247,,1668
1512,18.4240553,-33.9248685,,1671
1514,-71.0588801,42.3600825,,1673
1518,-119.0167679,36.06523,,1674
1520,114.109497,22.396428,,1681
1523,-99.9018131,31.9685988,,1682
1526,-99.9018131,31.9685988,,1685
1534,-98.3898726,40.5862583,,1687
1536,-122.2913078,37.8271784,,1690
1538,-80.236429,43.5439897,,1691
1540,28.0473051,-26.2041028,,1692
1544,-87.9064736,43.0389025,,1693
1548,-118.2436849,34.0522342,,1694
1553,67.2847875,25.0700428,,1696
1559,-79.3831843,43.653226,,1700
1560,29.3221307,-23.369633,,1704
1564,28.9783589,41.0082376,,1717
1568,-122.2913078,37.8271784,,1727
1569,-119.4179324,36.778261,,1730
1572,-117.1610838,32.715738,,1738
1574,-83.6096516,40.6469982,,1743
1576,-121.2907796,37.9577016,,1745
1578,-74.694929,40.774716,,1747
1579,35.9659123,-0.1674769,,1752
1580,-149.9002778,61.2180556,,1755
1583,-122.6764815,45.5230622,,1756
1585,-80.0236336,40.4422731,,1757
1590,-92.0198427,30.2240897,,1759
1592,88.6241351,24.3635886,,1762
1593,-120.9968782,37.6390972,,1765
1594,-73.134961,40.789142,,1766
1600,-71.3824374,42.4072107,,1769
1605,-95.712891,37.09024,,1770
1611,-73.9863253,40.747317,,1773
1615,78.2974404,30.2217831,,1775
1618,-123.8264512,46.5180824,,1780
1621,-73.9992966,40.7453369,,1783
1624,-74.2045917,41.7248156,,1787
1628,-119.4179324,36.778261,,1788
1629,-82.8373654,34.6834382,,1789
1630,139.7319925,35.7090259,,1790
1635,131.8869243,43.1198091,,1795
1640,121.0359174,14.5794443,,1796
1642,-119.4179324,36.778261,,1800
1643,-74.4056612,40.0583238,,1803
1647,-122.4442906,47.2528768,,1809
1648,-72.6506488,41.5623209,,1811
1653,-97.7430608,30.267153,,1813
1657,36.080026,-0.3030988,,1815
1658,-74.1637553,40.8584328,,1819
1660,-96.5716694,39.1836082,,1820
1668,-82.727966,27.863318,,1823
1674,-1.829833,52.4750743,,1828
1684,90.4125181,23.810332,,1830
1686,-84.3879824,33.7489954,,1831
1692,-89.4012302,43.0730517,,1834
1693,-89.0179332,42.6251506,,1835
1699,-73.4784795,44.6970393,,1837
1702,-96.7969879,32.7766642,,1840
1704,-111.6547075,35.1851895,,1842
1713,-0.0804836,51.5273935,,1844
1715,-119.4179324,36.778261,,1845
1716,-82.9987942,39.9611755,,1846
1718,-86.7816016,36.1626638,,1853
1724,-99.9018131,31.9685988,,1854
1725,-75.1652215,39.9525839,,1855
1726,7.6126843,46.3423464,,1856
1729,-120.7401385,47.7510741,,1857
1731,-118.2436849,34.0522342,,1859
1732,-95.3698028,29.7604267,,1862
1735,-89.3985283,40.6331249,,1863
1737,120.9842195,14.5995124,,1868
1738,-77.0075627,38.9004074,,1869
1741,-122.6209649,45.4299135,,1871
1743,-74.0059728,40.7127753,,1876
1750,-77.1945247,41.2033216,,1883
1752,-106.6055534,35.0853336,,1884
1755,-122.3320708,47.6062095,,1895
1756,-91.9026733,30.2695133,,1898
1757,-88.3496396,41.7545293,,1900
1761,-87.6675292,34.7448112,,1903
1762,-115.1398296,36.1699412,,1904
1771,-71.17778,43.227021,,1906
1774,-77.1945247,41.2033216,,1913
1776,-112.3579364,33.4933743,,1918
1777,-81.3961338,30.2841224,,1919
1780,-104.990251,39.7392358,,1920
1781,-95.3698028,29.7604267,,1921
1782,-78.6568942,37.4315734,,1924
1783,-84.398753,33.777444,,1930
1785,-85.323214,51.253775,,1934
1786,-77.1945247,41.2033216,,1936
1787,-122.6764815,45.5230622,,1939
1788,-118.3512858,34.0834058,,1948
1790,-110.3625658,46.8796822,,1958
1791,-77.4360481,37.5407246,,1960
1793,153.0251235,-27.4697707,,1961
1794,-122.6764815,45.5230622,,1967
1798,-115.1398296,36.1699412,,1968
1799,-117.9009545,48.5449971,,1975
1801,149.1300092,-35.2809368,,1980
1802,-119.4179324,36.778261,,1981
1805,-77.297508,18.109581,,1985
1808,-73.4139621,41.3712283,,1990
1809,-74.4056612,40.0583238,,1993
1812,-81.9234726,41.4156025,,1994
1813,-84.3879824,33.7489954,,2003
1818,-120.5542012,43.8041334,,2005
1824,-106.4850217,31.7618778,,2007
1828,26.6317514,-26.8598225,,2010
1832,-119.4179324,36.778261,,2013
1834,-96.7956862,32.8064567,,2016
1839,-76.5319854,3.4516467,,2021
1842,-96.7969879,32.7766642,,2022
1845,-117.5664384,33.8752935,,2027
1846,-4.498792,55.614719,,2030
1851,-81.0998342,32.0835407,,2034
1852,18.0685808,59.3293235,,2035
1853,-95.712891,37.09024,,2039
1854,-73.9712488,40.7830603,,2046
1855,-100.4370375,31.4637723,,2047
1860,-73.8648268,40.8447819,,2051
1863,-94.6858998,46.729553,,2053
1865,-82.907123,40.4172871,,2056
1867,-115.1398296,36.1699412,,2058
1871,-100.4370375,31.4637723,,2059
1874,-79.0192997,35.7595731,,2064
1876,-75.5950446,39.7768783,,2067
1877,-77.370841,37.6060488,,2068
1879,148.6329645,-32.2315018,,2071
1882,-79.5394625,43.8430176,,2072
1884,-97.3307658,32.7554883,,2073
1885,-117.1610966,32.7157305,,2074
1887,-75.5397878,39.7390721,,2075
1891,-115.2649268,36.1555084,,2076
1894,-118.1937395,33.7700504,,2078
1905,-99.9018131,31.9685988,,2079
1916,-104.9371993,40.0991506,,2083
1917,84.124008,28.394857,,2085
1918,-89.3985283,40.6331249,,2096
1923,-119.2920585,36.3302284,,2101
1924,-94.5785667,39.0997265,,2102
1925,-97.1330683,33.2148412,,2103
1926,-85.6023643,44.3148443,,2111
1928,-94.5785667,39.0997265,,2121
1930,-82.1306747,33.5337464,,2125
1932,-118.2436849,34.0522342,,2127
1939,-71.2289641,42.4430372,,2129
1943,-81.2452768,42.9849233,,2135
1944,-82.1587351,36.0156735,,2136
1945,-95.90194,36.146636,,2137
1946,-111.8910474,40.7607793,,2142
1950,-95.3698028,29.7604267,,2143
1951,-120.7401385,47.7510741,,2147
1959,-92.7140402,32.5276503,,2148
1960,-122.2913078,37.8271784,,2149
1961,-123.3656444,48.4284207,,2151
1963,-72.6314532,42.3186309,,2156
1969,-97.1383744,49.895136,,2160
1970,-87.9959191,42.9405711,,2165
1974,-94.2210237,35.4915705,,2166
1976,-95.712891,37.09024,,2177
1977,-115.7694002,49.5129678,,2178
1978,-105.084423,40.5852602,,2180
1981,-82.9000751,32.1656221,,2183
1986,-96.5158517,50.0617283,,2187
1989,-88.7878678,43.7844397,,2188
1990,127.510093,40.339852,,2189
1991,-95.971261,36.153315,,2190
1997,-40.420365,-20.2642764,,2197
2006,-70.9814978,43.250507,,2200
2009,-95.3698028,29.7604267,,2203
2014,-122.3320708,47.6062095,,2207
2018,5.291266,52.132633,,2209
2019,-120.456613,38.134816,,2216
2026,-118.2436849,34.0522342,,2219
2030,-43.1985932,-22.984667,,2222
2037,-82.285748,35.449369,,2224
2038,-79.9958864,40.4406248,,2225
2040,-4.251806,55.864237,,2227
2049,-79.9958864,40.4406248,,2229
2054,-99.9018131,31.9685988,,2230
2057,-85.9213796,39.2014404,,2231
2059,-7.3299766,43.1491458,,2232
2060,-119.4179324,36.778261,,2235
2061,-73.7948516,41.1220194,,2236
2069,-90.1994042,38.6270025,,2238
2070,-91.9623327,30.9842977,,2239
2071,-102.4107493,34.2331373,,2245
2072,-76.6412712,39.0457549,,2247
2075,-95.3698028,29.7604267,,2249
2077,-119.4179324,36.778261,,2251
2078,-95.712891,37.09024,,2252
2079,-118.2436849,34.0522342,,2253
2086,-82.907123,40.4172871,,2261
2089,-74.0059728,40.7127753,,2264
2090,-95.3698028,29.7604267,,2266
2093,-120.8958242,38.8375215,,2267
2094,114.164989,22.276156,,2276
2096,-122.8677562,49.2849107,,2281
2097,-3.435973,55.378051,,2286
2099,-87.6297982,41.8781136,,2291
